name,position,country
Daniel Simmons,MP,KE
Rodney Taylor,Minister,UG
William Hernandez,General,SS
Joan Payne,General,SS
Lisa Escobar,General,TZ
Daniel Hartman,Minister,SS
Katherine Jacobson,Minister,UG
Stephanie Sullivan,MP,UG
Amanda Morales,MP,KE
Kenneth Ball,General,KE
Carolyn Wallace,Ambassador,TZ
Elijah West,General,TZ
Samantha Woodward,Ambassador,ET
Tara Green,Ambassador,ET
Benjamin Richards,MP,UG
Michelle Carrillo,Ambassador,UG
Colleen Mathews,Minister,SS
Ricardo Page,Ambassador,KE
James Cohen,General,ET
Sarah Schultz,General,SS
Kimberly Le,General,KE
Audrey Parker,MP,TZ
Cory White,MP,ET
Keith Gallagher,MP,TZ
Heather Soto,General,ET
Gloria Espinoza,Ambassador,ET
Jessica Johnson,MP,ET
Christopher Brown,Minister,KE
Kellie Gill,Ambassador,TZ
Lauren Taylor,Minister,KE
Jesse Hammond,Minister,KE
Katelyn Harvey,Minister,SS
Alison Thomas,MP,SS
Peter White,Ambassador,KE
Ashley King,Ambassador,TZ
Kathryn Hicks,General,KE
Melissa Downs,MP,SS
Marissa Horn,Ambassador,SS
Carlos Schwartz,General,ET
Katrina Stewart,MP,KE
Gerald Walsh,Minister,KE
Gary Davis,Minister,KE
Daniel Clark,General,KE
Valerie Torres,MP,KE
Anna Willis,MP,TZ
Lisa Carey,MP,SS
Christopher Burton,Minister,ET
Richard Brooks,Ambassador,SS
Ronald Keller,General,UG
Daniel Warren,General,ET
Rick Hays,General,UG
Gregory Wheeler,Minister,SS
Bobby Jacobs,Ambassador,SS
Susan Russell,Ambassador,ET
Kelsey Gomez,General,ET
Ryan Hughes,MP,ET
Chase Golden,Ambassador,ET
Scott Castillo,General,UG
Kimberly Green,Ambassador,UG
Thomas Dean,Minister,KE
Andrew Carrillo,Minister,KE
Alicia Kelley,General,ET
Michael Graves,General,ET
Blake Hall,Ambassador,ET
Kayla Sullivan,General,KE
Bryan Smith,Minister,UG
Patricia Park,Ambassador,UG
Laura Griffith,Minister,KE
Eric Perry,Minister,UG
Charles Prince,Ambassador,UG
Victoria Duncan,Minister,SS
Jose Haney,General,ET
Veronica Moore,Ambassador,TZ
Frank Ferguson,Ambassador,SS
Gabriel Rivas,General,SS
Jasmine Brandt,Minister,ET
Amber Nichols,Ambassador,UG
Deanna Smith,General,UG
Richard Brock,Ambassador,KE
Ryan Beck,General,KE
Cynthia Wright,Ambassador,KE
Robert Martinez,MP,TZ
Rhonda Kelley,Minister,TZ
Sonya Hawkins,Ambassador,ET
Diane Lopez,Minister,UG
Eric Freeman,MP,TZ
Jessica Clarke,Ambassador,ET
Hannah Lewis,Minister,SS
Diana Lin,Minister,SS
Shane Lyons,MP,UG
Jessica Esparza,General,UG
Michael Bell,MP,SS
Adam Ray DDS,General,UG
Oscar Lewis,General,TZ
Leslie Davis,General,SS
Patricia Jackson,Minister,KE
Mrs. Pamela Thornton,General,TZ
Erin Hayes,Ambassador,TZ
Maria Washington,Ambassador,KE
Mr. Rodney Taylor DDS,Ambassador,SS
Rebecca Lewis,Minister,TZ
Jeremy Frost,MP,KE
Steven Cortez,MP,KE
Meredith Banks,MP,KE
Karen Miller,Minister,SS
Robin Davis,MP,KE
Kyle Mahoney,MP,TZ
Joshua Pennington,Minister,SS
Mrs. Phyllis Wagner DVM,Minister,UG
Mitchell Walter,General,KE
Thomas Martinez,Minister,ET
Frank Castillo,Minister,TZ
Dustin Hodges,MP,TZ
Timothy Schneider,Ambassador,SS
Amanda Powell,General,ET
Renee Richards,Minister,KE
Angel Willis,General,KE
Amber Johnson,General,ET
Margaret Knapp,MP,KE
David Ramos,General,UG
