staff_id,module,completed_on,score,expiry_on
6abfb78f,AML Basics,2025-10-25,69,2026-10-25
8ee996d0,AML Basics,2025-10-25,87,2026-10-25
29f3672d,AML Basics,2025-10-25,100,2026-10-25
d415a63b,TFS,2025-10-25,87,2026-10-25
23b18a3b,AML Basics,2025-10-25,63,2026-10-25
4d1b1e12,CDD/EDD,2025-10-25,89,2026-10-25
b5f88794,CDD/EDD,2025-10-25,80,2026-10-25
2c44f7f1,TFS,2025-10-25,92,2026-10-25
3729573a,TFS,2025-10-25,97,2026-10-25
dde5c5a2,AML Basics,2025-10-25,85,2026-10-25
9f2264b7,CDD/EDD,2025-10-25,75,2026-10-25
f9ddabd3,AML Basics,2025-10-25,87,2026-10-25
22d035b3,CDD/EDD,2025-10-25,76,2026-10-25
2bec3634,TFS,2025-10-25,68,2026-10-25
aa0bfb2a,goAML Filing,2025-10-25,70,2026-10-25
ddbefb24,CDD/EDD,2025-10-25,99,2026-10-25
b9e4ab4b,AML Basics,2025-10-25,70,2026-10-25
e0da66b9,AML Basics,2025-10-25,82,2026-10-25
3fcf6305,AML Basics,2025-10-25,81,2026-10-25
0fa9b1f8,goAML Filing,2025-10-25,85,2026-10-25
bd02eb11,CDD/EDD,2025-10-25,88,2026-10-25
f766974a,TFS,2025-10-25,82,2026-10-25
bf04afd5,TFS,2025-10-25,95,2026-10-25
5eb7158d,TFS,2025-10-25,85,2026-10-25
d1088de7,CDD/EDD,2025-10-25,98,2026-10-25
61ab304c,TFS,2025-10-25,73,2026-10-25
c67b1f19,CDD/EDD,2025-10-25,71,2026-10-25
4f33ed44,AML Basics,2025-10-25,69,2026-10-25
451795f8,goAML Filing,2025-10-25,70,2026-10-25
a57ad673,AML Basics,2025-10-25,69,2026-10-25
1707af30,AML Basics,2025-10-25,83,2026-10-25
23a6cc05,CDD/EDD,2025-10-25,91,2026-10-25
84da2422,TFS,2025-10-25,61,2026-10-25
6b354b90,TFS,2025-10-25,84,2026-10-25
4f140aaa,TFS,2025-10-25,79,2026-10-25
b97cbb37,goAML Filing,2025-10-25,97,2026-10-25
5107731a,CDD/EDD,2025-10-25,64,2026-10-25
5c5944ae,AML Basics,2025-10-25,90,2026-10-25
640776b5,TFS,2025-10-25,91,2026-10-25
bcb1eb39,AML Basics,2025-10-25,87,2026-10-25
169fe9af,AML Basics,2025-10-25,83,2026-10-25
9652e55b,TFS,2025-10-25,99,2026-10-25
f2589b27,AML Basics,2025-10-25,83,2026-10-25
e0b9aa69,CDD/EDD,2025-10-25,93,2026-10-25
8ddeb4ae,goAML Filing,2025-10-25,79,2026-10-25
4d64c44a,CDD/EDD,2025-10-25,62,2026-10-25
b6571ee5,AML Basics,2025-10-25,78,2026-10-25
a8a37219,goAML Filing,2025-10-25,96,2026-10-25
43a5551c,AML Basics,2025-10-25,69,2026-10-25
512b7e30,AML Basics,2025-10-25,78,2026-10-25
3d45d433,AML Basics,2025-10-25,68,2026-10-25
141a9fc0,AML Basics,2025-10-25,91,2026-10-25
a5cb681c,goAML Filing,2025-10-25,90,2026-10-25
aaed6b55,goAML Filing,2025-10-25,86,2026-10-25
723bf88b,goAML Filing,2025-10-25,97,2026-10-25
94a99ed0,AML Basics,2025-10-25,81,2026-10-25
caf2ed6a,goAML Filing,2025-10-25,97,2026-10-25
75c0f1b8,goAML Filing,2025-10-25,75,2026-10-25
805fea65,AML Basics,2025-10-25,77,2026-10-25
610973df,CDD/EDD,2025-10-25,62,2026-10-25
0ca70186,CDD/EDD,2025-10-25,86,2026-10-25
d7d1b825,TFS,2025-10-25,91,2026-10-25
6ca29309,CDD/EDD,2025-10-25,93,2026-10-25
5ef13926,AML Basics,2025-10-25,80,2026-10-25
f4166fb6,CDD/EDD,2025-10-25,77,2026-10-25
4b909642,goAML Filing,2025-10-25,61,2026-10-25
c89f0247,goAML Filing,2025-10-25,93,2026-10-25
f80fb9a3,CDD/EDD,2025-10-25,98,2026-10-25
c6b96407,AML Basics,2025-10-25,80,2026-10-25
d6ac92e8,AML Basics,2025-10-25,89,2026-10-25
eabb1bf0,CDD/EDD,2025-10-25,83,2026-10-25
abe19d65,AML Basics,2025-10-25,89,2026-10-25
207e0d3b,goAML Filing,2025-10-25,80,2026-10-25
34ed78cd,CDD/EDD,2025-10-25,80,2026-10-25
e4049f86,AML Basics,2025-10-25,72,2026-10-25
f36c53d8,CDD/EDD,2025-10-25,95,2026-10-25
be2fab6e,goAML Filing,2025-10-25,98,2026-10-25
3f9f158b,goAML Filing,2025-10-25,84,2026-10-25
51eb2443,TFS,2025-10-25,100,2026-10-25
8b471169,TFS,2025-10-25,96,2026-10-25
fcd42ecc,TFS,2025-10-25,83,2026-10-25
f917e4f1,CDD/EDD,2025-10-25,75,2026-10-25
3e1edb1d,CDD/EDD,2025-10-25,86,2026-10-25
2a74fa03,goAML Filing,2025-10-25,65,2026-10-25
