txn_id,member_id,ts,amount,channel,product,counterparty,geo,narrative,branch,device_id
T100000000,M100000,2025-07-31 04:23:16,-323707.0,MOBILE,FIXED,Reyes-Gutierrez,KE-EDL,Later standard ahead name.,Mombasa,dev-HjIxSGC
T100000001,M100000,2025-10-25 23:30:33,-588127.0,MOBILE,MOBILE,Carson-Ferrell,KE-THK,History every well PM.,Kisumu,dev-AWvqjjkE
T100000002,M100000,2025-07-25 00:16:38,-210213.0,TELLER,SAVINGS,"Arnold, Lopez and West",KE-EDL,Fish what what type color.,Nyeri,dev-giStNiwC
T100000003,M100000,2025-10-15 15:35:25,-118905.0,MOBILE,FIXED,Hunter-King,KE-NRB,Improve participant several.,Thika,dev-xzNOSYii
T100000004,M100000,2025-05-02 02:05:29,-36865.0,CARD,FIXED,"Collins, Butler and Clark",KE-NYR,Statement represent keep.,Kisumu,dev-bNzSEL
T100000005,M100000,2025-04-17 03:32:07,-453730.0,TELLER,LOAN,Sparks-Rodriguez,KE-NRB,Us provide back girl wonder.,Nakuru,dev-ANKagFUd
T100000006,M100000,2025-10-08 06:25:34,224468.0,CARD,MOBILE,"Morton, Reynolds and Lewis",KE-MSA,Decade lawyer concern pass.,Nakuru,dev-XIXCah
T100000007,M100000,2025-09-20 11:44:44,-294803.0,CARD,MOBILE,"Jordan, Martinez and Buchanan",KE-NYR,Range rock ground student degree.,Kisumu,dev-mjocfGO
T100000008,M100000,2025-04-19 06:38:35,111990.0,MOBILE,CURRENT,Miller LLC,KE-NKR,Course share court if.,Nyeri,dev-tPpbUCmt
T100000009,M100000,2025-02-25 06:02:06,387011.0,TELLER,CURRENT,"Allen, Carter and Horton",KE-THK,overnight activity,Nairobi HQ,dev-JCHcXiJF
T100000010,M100000,2025-02-13 23:15:15,72938.0,CARD,FIXED,"Winters, Day and Hampton",KE-MSA,Prevent relationship treatment.,Thika,dev-dNqeNqEV
T100000011,M100000,2025-06-29 00:19:59,1014240.0,TELLER,FIXED,"Johnson, Hernandez and Pearson",KE-KSM,Teacher goal who determine modern.,Nairobi HQ,dev-bMrjhTl
T100000012,M100000,2025-04-16 16:26:20,-245755.0,TELLER,FIXED,"Parker, Higgins and Hudson",KE-NRB,Father film wall detail community open.,Nairobi HQ,dev-xlxBAY
T100000013,M100000,2025-04-29 17:08:54,179254.0,TELLER,LOAN,"Jackson, Trujillo and Knight",KE-KSM,Look recognize star yes.,Nyeri,dev-RhwMcR
T100000014,M100000,2025-09-15 06:15:01,731862.0,AGENT,MOBILE,"Quinn, Adams and Mitchell",KE-KSM,Apply respond lead tax late.,Nyeri,dev-iClorpD
T100000015,M100000,2025-04-11 08:35:15,240762.0,CARD,CURRENT,"Johnson, Robertson and Lara",KE-NYR,His believe report summer security stop.,Thika,dev-OSjFnJEN
T100000016,M100000,2025-05-01 00:50:13,169944.0,CARD,SAVINGS,"Collins, Sanders and Anthony",KE-EDL,Discuss ever appear enter or teach.,Mombasa,dev-WtdGgFd
T100000017,M100000,2025-01-30 06:06:22,339295.0,MOBILE,SAVINGS,Butler-Hayden,KE-KSM,Drive position strong six include relate.,Mombasa,dev-vGsQtJO
T100000018,M100000,2025-09-11 17:47:42,-146640.0,MOBILE,LOAN,Torres-Moore,KE-MSA,Listen ten huge national create.,Nairobi HQ,dev-cyRqMoR
T100000019,M100000,2025-05-30 15:55:17,72238.0,TELLER,CURRENT,Howell Group,KE-NYR,Scientist talk hundred behavior Republican.,Kisumu,dev-sdVlNQmT
T100000020,M100000,2025-03-06 13:50:36,-749737.0,TELLER,CURRENT,Robinson LLC,KE-NKR,Available doctor out.,Nakuru,dev-iBFoXQlU
T100000021,M100000,2025-06-03 09:02:27,-118182.0,CARD,FIXED,"Taylor, Wilson and Herrera",KE-MSA,Control anything dark business investment.,Thika,dev-IDBMRtWu
T100000022,M100000,2025-01-30 07:58:05,175872.0,CARD,FIXED,Meyer Inc,KE-NRB,Individual politics back attack.,Eldoret,dev-JpNkQlcf
T100000023,M100000,2025-09-13 20:22:35,189685.0,MOBILE,MOBILE,Warner Inc,KE-KSM,Carry religious and.,Nyeri,dev-BkpMFPQ
T100000024,M100000,2025-06-05 14:47:54,617904.0,CARD,LOAN,Williams-Johnson,KE-NRB,American second there wrong dog.,Kisumu,dev-zYGeUL
T100000025,M100001,2025-07-29 12:16:27,114467.0,TELLER,SAVINGS,"Garcia, Edwards and Vega",KE-KSM,Street station hospital benefit a.,Kisumu,dev-XuurIZmF
T100000026,M100001,2025-03-21 11:26:49,397818.0,TELLER,FIXED,Mcclain Ltd,KE-THK,Stuff section Republican.,Mombasa,dev-Zmvhtd
T100000027,M100001,2025-04-25 01:23:38,168205.0,CASH,SAVINGS,"Schmitt, Jimenez and Coleman",KE-NKR,Every management mind assume.,Kisumu,dev-KGtKoav
T100000028,M100001,2025-09-13 22:24:51,92940.0,AGENT,FIXED,Bush-Byrd,KE-NKR,Consumer best scene current second.,Nyeri,dev-pXWAWsF
T100000029,M100001,2025-09-10 10:19:08,292728.0,MOBILE,SAVINGS,"Walton, Rodriguez and Hardy",KE-THK,Seem wish let movie money degree.,Kisumu,dev-NoiSwsz
T100000030,M100001,2025-02-04 19:58:27,883543.0,TELLER,MOBILE,Perez PLC,KE-EDL,Process car down star media.,Kisumu,dev-kmtnvhFl
T100000031,M100001,2025-06-19 07:15:48,209021.0,AGENT,FIXED,Lewis-Ruiz,KE-NRB,Country visit coach strong teach listen.,Nairobi HQ,dev-xiwYeJJS
T100000032,M100001,2025-10-09 13:41:22,127664.0,AGENT,SAVINGS,Austin LLC,KE-NRB,He this local how how green.,Kisumu,dev-LorvoU
T100000033,M100001,2025-02-22 13:22:47,80591.0,CASH,LOAN,Orozco-Wilson,KE-NYR,Pretty interest prepare cause pattern here.,Mombasa,dev-rnBokl
T100000034,M100001,2025-09-02 18:30:08,108985.0,TELLER,CURRENT,"Bailey, Baxter and Evans",KE-NRB,overnight activity,Mombasa,dev-dBIMoFr
T100000035,M100001,2025-08-03 09:08:09,267911.0,TELLER,SAVINGS,"Perry, Bernard and Wilkerson",KE-THK,Pass question member everybody.,Kisumu,dev-TxeDgc
T100000036,M100001,2025-10-22 03:46:51,282581.0,CARD,SAVINGS,Jackson-Ramirez,KE-NKR,Dinner situation who.,Eldoret,dev-KxKPQK
T100000037,M100001,2025-03-19 07:05:48,-242810.0,AGENT,CURRENT,Lee-Rodriguez,KE-KSM,Door base hospital others sure research.,Kisumu,dev-vfxIDy
T100000038,M100001,2025-06-26 09:02:37,-320937.0,MOBILE,SAVINGS,Livingston-Moss,KE-MSA,Animal fast other.,Thika,dev-waiwkE
T100000039,M100001,2025-09-25 19:48:41,-87370.0,CARD,FIXED,Roth and Sons,KE-NKR,Possible board reduce.,Nakuru,dev-avPrxDed
T100000040,M100001,2025-07-24 14:37:05,162968.0,CASH,SAVINGS,Smith-Williams,KE-MSA,Accept receive high couple other.,Nyeri,dev-tviBPi
T100000041,M100001,2025-05-06 18:52:39,-209437.0,CARD,FIXED,"Schwartz, Pham and Chavez",KE-THK,Dream foot compare.,Kisumu,dev-JzAoVXA
T100000042,M100001,2025-06-06 04:38:40,-261773.0,TELLER,CURRENT,"Rhodes, Lawrence and Cook",KE-NRB,Miss where note south different indicate.,Nyeri,dev-qCdHmPIx
T100000043,M100001,2025-06-12 06:30:13,-153250.0,CASH,CURRENT,"Cook, Bowman and Thompson",KE-THK,Modern recognize into toward commercial.,Nairobi HQ,dev-zkSPQc
T100000044,M100001,2025-03-13 05:44:08,-259267.0,CARD,CURRENT,Solomon LLC,KE-MSA,overnight activity,Eldoret,dev-yTkJlM
T100000045,M100001,2025-07-23 19:52:22,262015.0,CASH,LOAN,Rivera-Moore,KE-THK,Allow my bit example matter.,Nyeri,dev-JThgoeu
T100000046,M100001,2025-07-04 11:41:29,160083.0,TELLER,LOAN,Reed LLC,KE-THK,Water know newspaper TV member consider.,Nairobi HQ,dev-VxIYZCD
T100000047,M100001,2025-07-17 04:59:26,164265.0,MOBILE,SAVINGS,"Mccarthy, Black and Knight",KE-THK,Old gun blue thousand nature.,Nairobi HQ,dev-AxCAAMj
T100000048,M100001,2025-09-04 04:51:17,179268.0,MOBILE,LOAN,"Brown, House and Barnes",KE-NRB,Wife one surface billion and mother.,Thika,dev-BnkAVHs
T100000049,M100001,2025-04-23 06:41:04,53834.0,AGENT,LOAN,Simon-Martin,KE-EDL,Go especially travel year.,Eldoret,dev-MbteUl
T100000050,M100001,2025-03-03 08:57:01,-124326.0,MOBILE,FIXED,"Neal, Russell and Gibbs",KE-THK,Life man some again first.,Nyeri,dev-EGGeQknv
T100000051,M100001,2025-07-19 22:10:29,-590442.0,CARD,SAVINGS,West-Sims,KE-EDL,Case big give summer.,Nairobi HQ,dev-zIZRHu
T100000052,M100001,2025-06-30 00:30:11,235769.0,CASH,CURRENT,Young Ltd,KE-NKR,Best cost theory most.,Nakuru,dev-cHhBAm
T100000053,M100002,2025-07-14 02:26:46,41927.0,AGENT,CURRENT,"Stone, Johnson and Ramirez",KE-MSA,Suggest mention edge indeed reach different.,Eldoret,dev-VQUJfGUd
T100000054,M100002,2025-02-11 22:50:07,158795.0,CASH,CURRENT,Burke-Cooper,KE-NRB,From speech good he during.,Mombasa,dev-PqDrqdUa
T100000055,M100002,2025-06-23 23:04:09,-775413.0,MOBILE,CURRENT,Lewis Ltd,KE-NKR,Wish author attention.,Nakuru,dev-dqmHIPUL
T100000056,M100002,2025-10-13 02:32:10,109887.0,MOBILE,FIXED,Morales Group,KE-NRB,Professional research baby represent sort.,Thika,dev-isnkiY
T100000057,M100002,2025-07-06 18:46:33,163178.0,TELLER,CURRENT,"Gregory, Thompson and Fernandez",KE-NKR,Some hospital why.,Thika,dev-khqhIT
T100000058,M100002,2025-08-08 16:50:27,132590.0,CARD,LOAN,"Hicks, Hall and Howard",KE-MSA,Able quickly off accept executive.,Nakuru,dev-EzaHbfe
T100000059,M100002,2025-02-10 18:11:27,433661.0,TELLER,CURRENT,Curtis-Becker,KE-MSA,Help wife shoulder edge character side.,Kisumu,dev-qNrtthuZ
T100000060,M100002,2025-09-10 03:20:55,148880.0,CASH,CURRENT,Jackson-Grant,KE-NKR,Apply civil large head through Mrs.,Nakuru,dev-gdLfQT
T100000061,M100002,2025-05-09 02:55:03,-694216.0,AGENT,LOAN,Rodriguez-Cameron,KE-NYR,West customer lay able.,Mombasa,dev-ssUxwz
T100000062,M100002,2025-09-21 11:18:52,113254.0,MOBILE,MOBILE,Wang-Graves,KE-NRB,Seek call example live cultural.,Thika,dev-dPRukn
T100000063,M100002,2025-07-15 20:39:59,75005.0,MOBILE,FIXED,Johnson Group,KE-NYR,Also law answer structure down.,Kisumu,dev-gQAUKBJm
T100000064,M100002,2025-07-08 16:37:00,406172.0,TELLER,LOAN,Mendez Group,KE-NYR,Debate air quality involve race despite.,Thika,dev-xBBaKnYx
T100000065,M100002,2025-08-23 11:58:58,207797.0,CASH,FIXED,Salazar Inc,KE-EDL,Impact letter site.,Kisumu,dev-gLZyKMZ
T100000066,M100002,2025-02-24 03:34:24,-483261.0,MOBILE,CURRENT,"Berry, Galloway and Edwards",KE-NKR,Reduce think rich moment loss.,Mombasa,dev-arjVFJL
T100000067,M100002,2025-07-28 03:46:51,153189.0,TELLER,CURRENT,Adkins-Contreras,KE-KSM,Quite name miss knowledge.,Kisumu,dev-AdruVvId
T100000068,M100002,2025-07-13 03:38:59,50488.0,CARD,SAVINGS,Lewis-Avila,KE-MSA,Move into reveal Congress.,Nairobi HQ,dev-jCaOhp
T100000069,M100002,2025-02-21 11:39:41,-414783.0,CARD,SAVINGS,Smith LLC,KE-EDL,Bed note stuff natural.,Nakuru,dev-YdmDlcK
T100000070,M100002,2025-05-15 15:46:36,145981.0,CARD,LOAN,Soto-Lawrence,KE-EDL,Often authority official.,Mombasa,dev-iSoCEELN
T100000071,M100002,2025-05-14 13:15:22,186485.0,CASH,MOBILE,Ferguson-Reynolds,KE-THK,Property development type per blue general.,Nakuru,dev-CrHyud
T100000072,M100002,2025-02-05 02:46:20,-155050.0,AGENT,MOBILE,Davis-Valencia,KE-THK,Environment table whatever simple.,Nairobi HQ,dev-jRagVjZ
T100000073,M100003,2025-02-21 10:10:07,290735.0,CARD,MOBILE,Bradley-Jefferson,KE-EDL,Rather later staff.,Kisumu,dev-ZSzyQlja
T100000074,M100003,2025-08-17 19:53:36,926854.0,CASH,FIXED,"Hart, Winters and Merritt",KE-MSA,Book magazine small.,Mombasa,dev-hlODas
T100000075,M100003,2025-03-24 23:23:09,326603.0,AGENT,SAVINGS,"Wilson, Torres and Ballard",KE-NRB,Recently indicate radio for.,Eldoret,dev-uvZnbLHo
T100000076,M100003,2025-08-03 14:49:45,555969.0,MOBILE,LOAN,Johnson Ltd,KE-EDL,Road risk hotel reality themselves.,Nairobi HQ,dev-HINJlLd
T100000077,M100003,2025-05-17 01:12:44,171972.0,CASH,SAVINGS,Jackson-Robinson,KE-NRB,Certainly drop recently stop drug middle.,Thika,dev-Byxthz
T100000078,M100003,2025-09-13 01:28:10,-147663.0,AGENT,MOBILE,"Henry, Love and Thomas",KE-NRB,Thank address field source.,Kisumu,dev-acukmeqh
T100000079,M100003,2025-10-26 04:09:32,106342.0,TELLER,MOBILE,Robinson-Butler,KE-EDL,Seem east unit hand floor.,Mombasa,dev-agyrQq
T100000080,M100003,2025-03-28 23:10:49,529096.0,CARD,SAVINGS,"Russell, Hernandez and Wells",KE-NRB,Debate recent whole Congress late.,Thika,dev-rKiyKqw
T100000081,M100003,2025-10-14 09:48:39,332616.0,CARD,MOBILE,"Hendricks, Davis and Orozco",KE-NKR,When range responsibility.,Kisumu,dev-QqpIcukr
T100000082,M100003,2025-02-10 07:35:14,-195123.0,TELLER,MOBILE,Kim Ltd,KE-NKR,Through quality determine glass along.,Nyeri,dev-qiXNYQZO
T100000083,M100003,2025-07-04 09:39:22,-1295978.0,TELLER,FIXED,"Brooks, Stevens and Long",KE-THK,Truth will discover brother form.,Nakuru,dev-vMKvpH
T100000084,M100003,2025-05-24 01:34:56,-271097.0,MOBILE,CURRENT,Hall Ltd,KE-NYR,Military performance theory official reflect civil.,Nyeri,dev-ZALqsmzt
T100000085,M100003,2025-06-20 01:41:52,174735.0,CASH,CURRENT,"Jackson, Wong and Williams",KE-NRB,Yard world claim easy line may.,Nyeri,dev-GOCoHNx
T100000086,M100003,2025-05-02 02:49:34,-107014.0,AGENT,SAVINGS,"Li, Hill and Allen",KE-EDL,Carry reduce threat candidate management.,Nyeri,dev-GuzlHmo
T100000087,M100003,2025-05-05 02:43:11,-65380.0,TELLER,MOBILE,Campbell-Rubio,KE-KSM,Glass common conference.,Thika,dev-NHmxzJNr
T100000088,M100003,2025-04-21 22:46:30,202404.0,CARD,FIXED,"Shea, Horn and Johnson",KE-NKR,Would wind during offer hair both.,Nairobi HQ,dev-yERvbMz
T100000089,M100003,2025-10-26 17:45:13,217942.0,MOBILE,SAVINGS,"Brandt, Torres and Kim",KE-NRB,Long other common between popular.,Kisumu,dev-AyCsNUv
T100000090,M100003,2025-02-17 06:15:24,151524.0,CARD,LOAN,Benitez-Gutierrez,KE-NRB,Tend rich provide figure.,Nakuru,dev-mBVTAMRB
T100000091,M100003,2025-10-01 11:01:20,310698.0,CASH,SAVINGS,Walker and Sons,KE-KSM,Hard possible skin.,Eldoret,dev-rQfUJSx
T100000092,M100003,2025-08-22 17:29:56,-211756.0,MOBILE,CURRENT,Ramos-Moran,KE-NKR,Republican water perform recognize question.,Kisumu,dev-HeWtfUA
T100000093,M100004,2025-06-05 21:57:07,469779.0,CASH,CURRENT,"Novak, Green and Hall",KE-NRB,Yourself several ago explain activity.,Kisumu,dev-QxeShnbM
T100000094,M100004,2025-02-08 07:35:33,-156944.0,CASH,SAVINGS,Jones Group,KE-NKR,Get religious stuff discover throw.,Kisumu,dev-FPsNhSTc
T100000095,M100004,2025-08-28 01:40:23,364668.0,MOBILE,MOBILE,Dean Inc,KE-NYR,Find how forward be administration similar.,Nyeri,dev-ZPawiATJ
T100000096,M100004,2025-10-25 05:32:31,55131.0,TELLER,LOAN,Peterson-Silva,KE-MSA,Picture affect seek.,Nakuru,dev-tpKJXVT
T100000097,M100004,2025-07-10 09:43:55,123876.0,TELLER,MOBILE,Gibson Group,KE-MSA,Station certain list fast represent.,Eldoret,dev-sJtbXdn
T100000098,M100004,2025-06-05 12:22:44,306836.0,CASH,LOAN,"Reynolds, Mathis and Smith",KE-NRB,Discuss tree daughter generation wrong.,Eldoret,dev-Eggpcv
T100000099,M100004,2025-06-13 03:54:05,55425.0,TELLER,FIXED,Mckinney Group,KE-THK,Analysis practice interview sell hot.,Nairobi HQ,dev-skUpHc
T100000100,M100004,2025-03-29 03:06:55,786760.0,CASH,MOBILE,Edwards-Hawkins,KE-EDL,overnight activity,Nyeri,dev-zpGFnbA
T100000101,M100004,2025-03-12 17:43:28,459354.0,MOBILE,FIXED,Pollard-Davis,KE-NYR,Security former big follow.,Nakuru,dev-niUDnikw
T100000102,M100004,2025-07-26 00:48:18,-387912.0,AGENT,SAVINGS,Davis-Taylor,KE-EDL,Far exactly against suddenly baby.,Thika,dev-uYQaiF
T100000103,M100004,2025-03-01 16:40:18,127021.0,TELLER,LOAN,"Barrett, Callahan and Rosales",KE-MSA,Shoulder represent together.,Eldoret,dev-leBAlZ
T100000104,M100004,2025-06-22 01:53:51,190822.0,TELLER,FIXED,"Yates, Terrell and Novak",KE-NYR,Ball identify beyond.,Mombasa,dev-cbhzloJf
T100000105,M100004,2025-09-28 02:55:42,-694032.0,CARD,FIXED,Baird-Jackson,KE-NKR,Article guess wonder bad look.,Mombasa,dev-QGvLlNnF
T100000106,M100004,2025-10-19 12:34:20,257106.0,MOBILE,MOBILE,Cook LLC,KE-THK,Place last expert end.,Eldoret,dev-xkVxCIGm
T100000107,M100004,2025-06-28 09:45:45,132305.0,AGENT,FIXED,"Hamilton, Gamble and Bates",KE-KSM,Law father board fight early.,Nakuru,dev-iDVDROPa
T100000108,M100004,2025-04-23 07:49:56,195372.0,CASH,SAVINGS,Baldwin Ltd,KE-NRB,Artist everybody meeting prepare view.,Mombasa,dev-IuyrLx
T100000109,M100004,2025-05-30 23:51:26,-225508.0,AGENT,CURRENT,Cortez-Wilkerson,KE-EDL,All there size.,Nyeri,dev-dEBopx
T100000110,M100004,2025-08-04 16:23:09,-121749.0,CASH,LOAN,Stanley Ltd,KE-NRB,Bank lead miss billion.,Nairobi HQ,dev-kEjenc
T100000111,M100004,2025-06-07 08:49:29,52437.0,MOBILE,LOAN,Taylor LLC,KE-THK,Kitchen tend situation now.,Mombasa,dev-sieJATs
T100000112,M100005,2025-05-15 23:51:53,238381.0,TELLER,SAVINGS,"Johnson, Gallagher and Daniels",KE-MSA,Ground major deal president.,Nyeri,dev-jHqkKvTx
T100000113,M100005,2025-08-18 20:08:20,105836.0,CASH,SAVINGS,"Townsend, Cook and Perry",KE-NKR,Down audience relationship.,Eldoret,dev-EcdmKL
T100000114,M100005,2025-05-09 04:31:26,-258097.0,AGENT,CURRENT,Robinson Inc,KE-NKR,Likely new article it.,Nakuru,dev-GRLmqpu
T100000115,M100005,2025-02-05 23:28:55,282504.0,CARD,LOAN,Harrison-Bright,KE-NYR,Station sure company.,Nyeri,dev-AIGDCC
T100000116,M100005,2025-10-20 11:12:14,375089.0,TELLER,MOBILE,Schwartz LLC,KE-MSA,Difficult herself season turn.,Nyeri,dev-eygHoYxT
T100000117,M100005,2025-08-14 04:18:17,-173955.0,TELLER,FIXED,Taylor-Robertson,KE-THK,Specific enter sure.,Nakuru,dev-CWnfiK
T100000118,M100005,2025-03-20 23:43:52,1823279.0,CASH,CURRENT,Fox Inc,KE-NKR,School whom indeed have.,Nakuru,dev-ySxEFT
T100000119,M100005,2025-03-26 07:31:47,-130535.0,CASH,CURRENT,Cherry Inc,KE-NYR,Just dream inside.,Eldoret,dev-emcdMpDn
